Name,Summary,Announced Date,Organization Name,Funding Round
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun9,2021",Northvolt,Venture Round-Northvolt
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun8,2021",Janus International Group,Post-IPO Equity-Janus International Group
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","May17,2021",Pine Labs,Venture Round-Pine Labs
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Mar29,2021",BBYJU'S,Series F-BYJU'S
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jan7,2021",Resident,Series B-Resident
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov2,2020",Access TeleCare,Post-IPO Equity-Access TeleCare
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep29,2020",Northvolt,Series B-Northvolt
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep8,2020",Zymergen,Series D-Zymergen
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug26,2020",Desktop Metal,Post-IPO Equity-Desktop Metal
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug3,2020",Farmers Business Network,Series F-Farmers Business Network
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Ju29,2020",Access TeleCare,Private Equity Round-Access TeleCare
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul10,2020",Rivian,Private Equity Round-Rivian
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep29,2022",MX Global,Venture Round-MX Global
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"May4,2022",Twitter,Post-IPO Equity-Twitter
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr14,2022",Skynet EGLD Capital,Venture Round-Skynet EGLD Capital
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr6,2022",Sky Mavis,Series C-Sky Mavis
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar16,2022",Treehouse Finance,Seed Round-Treehouse Finance
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2022",MX Global,Initial Coin Offering-MX Global
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Feb10,2022",Forbes//rodel banez capinig,Corporate Round-Forbes//rodel banez capinig
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr1,2021",Mask Network,Venture Round-Mask Network
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar9,2021",OpenOcean,Seed Round-OpenOcean
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2021",CERE Network,Series A-CERE Network
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Feb9,2021",Stake Technologies,Venture Round-Stake Technologies
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec31,2020",Biconomy,Seed Round-Biconomy
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"May12,2020",TokoCrypto,Corporate Round-TokoCrypto
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr23,2020",Bundle Africa,Pre Seed Round-Bundle Africa
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan23,2020",Numbers Protocol,Venture Round-Numbers Protocol
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan14,2020",BxB,Seed Round-BxB
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec23,2019",Eurexcoin.com,Series A-Eurexcoin.com
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec20,2019",FTX,Corporate Round-FTX
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct2,2019",Founders Bank,Venture Round-Founders Bank
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep17,2019",Band Protocol,Seed Round-Band Protocol
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep12,2019",Mars Finance,Series B-Mars Finance
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2019",Tellor,Seed Round-Tellor
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2019",capitalise.ai,Funding Round-capitalise.ai
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct5,2018",Injective,Pre Seed Round-Injective
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct3,2018",TravelbyBit,Grant-TravelbyBit
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Aug31,2018",Buxx,Initial Coin Offering-Buxx
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan1,2018",MT5Wave,Funding Round-MT5Wave
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan2,2007",MT5Wave,Funding Round-MT5Wave
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct17,2022",Panthera Finance,Debt Financing-Panthera Finance
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct6,2022",Primary Wave,Private Equity Round-Primary Wave
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May19,2022",CrescoNet,Venture Round-CrescoNet
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May11,2022",NeWork,Post-IPO Debt-WeWork
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May4,2022",Twitter,Post-IPO Equity-Twitter
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May2,2022",AGL Energy,Post-IPO Equity-AGL Energy
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar28,2022",Superior Plus,Post-IPO Equity-Superior Plus
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar17,2022",Jindal Poly Films,Post-IPO Equity-Jindal Poly Films
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Feb2,2022",Hopper,Secondary Market-Hopper
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jan20,2022",Amp Solar Group,Debt Financing-Amp Solar Group
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Nov22,2021",Experimental Group,Private Equity Round-Experimental Group
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul6,2021",Creating Culinary Communities,Series B-Creating Culinary
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun10,2021",Immersive Gamebox,Series A-Immersive Gamebox
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May20,2021",Workrise,Series E-Workrise
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Nov10,2020",Carbon Health,Series C-Carbon Health
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct18,2020",American Equity Investment Life Holding Company,Post-IPO Equity-American Equity Investment Life Holding Company
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun23,2020",Abu Dhabi National Oil Company,Funding Round-Abu Dhabi National Oil Company
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun8,2020",Superior Plus,Post-IPO Equity-Superior Plus
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun5,2020",Polaris Infrastructure,Post-IPO Debt-Polaris Infrastructure
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun2,2020",Vivint Solar,Post-IPO Debt-Vivint Solar
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May29,2020",IndoStar Capital,Private Equity Round-IndoStar Capital
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Aug22,2018",Latch,Series B-Latch
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul20,2018",Incor Infrastructure,Private Equity Round-Incor Infrastructure
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul10,2018",Convene,Series D-Convene
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar21,2018",Link Financial,Private Equity Round Link Financial Services
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun3,2016",CWC Energy Services,Private Equity Round-CWC Energy Services
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May1,2013",Arcestra,Series A-Arcestra
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun30,2010",IPICO,Venture Round IPICO
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul18,2022",Delfi Diagnostics,Series B-Delfi Diagnostics
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jun22,2022",Glowforge,Series E-Glowforge
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jun8,2022",Immuta,Series E-Immuta
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","May10,2022",Osmind,Series B-Osmind
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","May4,2022",Twitter,Post-IPO Equity-Twitter
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Apr20,2022",The Boring Company,Series C-The Boring Company
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb14,2022",Databook,Series B-Databook
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb10,2022",Salt Security,Series D-Salt Security
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb8,2022",Alchemy,Series C-Alchemy
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec15,2021",Sysdig,Series G-Sysdig
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec9,2021",Rho Business Banking,Series B-Rho Business Banking
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec1,2021",Commonwealth Fusion,Series B-Commonwealth Fusion
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Nov3,2021",Yellowbrick Data,Series C-Yellowbrick Data
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","0ct28,2021",Alchemy,SeriesC-Alchemy
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","0ct14,2021",Dutchie,Series D-Dutchie
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Aug5,2021",Hopin,Series D-Hopin
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul30,2021",Neuralink,Series C-Neuralink
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul26,2021",NotCo(The Not Company),Series D-NotCo(The Not Company)
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov21,2022",FogPharma,Series D-FogPharma
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov17,2022",Astera Labs,Series D-Astera Labs
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov3,2022",Emalex Biosciences,Series D-Emalex Biosciences
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct26,2022",SiMa.ai,Series B-SiMa.ai
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct24,2022",Local Bounti,Post-IPO Equity-Local Bounti
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct13,2022",Odyssey Therapeutic,Series B-Odyssey Therapeutics
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Sep27,2022",Wasabi Technologies,Series D-Wasabi Technologies
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Sep15,2022",Galvanize Therapeutics,Series B-Galvanize Therapeutics
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jul25,2022",Cleerly,Series C-Cleerly
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jun6,2022",Aledade,Series E-Aledade
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May25,2022",SiMa.ai,Series B-SiMa.ai
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May4,2022",Twitter,Post-IPO Equity-Twitter
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May2,2022",Castle Creek Biosciences,Venture Round-Castle Creek Biosciences
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr26,2022",Starling Bank,SeriesD-Starling Bank
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr20,2022",Beta Technologies,Series B-Beta Technologies
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr19,2022",Dianthus Therapeutics,Series A-Dianthus Therapeutics
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr12,2022",Circle,Private Equity Round-Circle
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar23,2022",LifeMine Therapeutics,Series C-LifeMine Therapeutics
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar15,2022",PrognomiQ,Venture Round-PrognomiQ
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar9,2022",Menlo Micro,Series C-Menlo Micro
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar2,2022",Saluda Medical,Private Equity Round-Saluda Medical
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar2,2022",Fanatics,Private Equity Round-Fanatics
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb23,2022",Omada Health,Series E-Omada Health
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb22,2022",Somatus,Series E-Somatus
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb16,2022",Cellink,Series D-Cellink
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb1,2022",MNTN,Series D-MNTN
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan25,2022",Creditas,Series F-Creditas
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan19,2022",Sonder,Post-IPO Equity-Sonder
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan11,2022",Bolt,Series F-Bolt
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan10,2022",Oddity,Venture Round-Oddity
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan5,2022",Korro Bio,Series B-Korro Bio
Honeycomb Asset Management LP,Honeycomb Asset Management LP is a private investment firm specializing in long/short equity and select private investment opportunities.,"May4,2022",Twitter,Post-IPO Equity Twitter
Honeycomb Asset Management LP,Honeycomb Asset Management LP is a private investment firm specializing in long/short equity and select private investment opportunities.,"0ct30,2021",Flox,Seed Round-Flox
Key Wealth Advisors LLC,Key Wealth Advisors Providing independent advise across traditional and non traditional assets,"May4,2022",Twitter,Post-IPO Equity Twitter
Lawrence J. Ellison Revocable Trust,The Lawrence J. Ellison Revocable Trust,"May4,2022",Twitter,Post-IPO Equity Twitter
Lawrence J. Ellison Revocable Trust,The Lawrence J. Ellison Revocable Trust,"Nov17,2006",Theranos,Series C-Theranos
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"May16,2022",Notissia,Funding Round-Notissia
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"May4,2022",Twitter,Post-IPO Equity-Twitter
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Apr7,2022",Cofactr,Seed Round-Cofactr
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jan27,2022",Parthean,Seed Round-Parthean
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Dec8,2021",Zymochem,Seed Round-Zymochem
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Nov15,2021",JuneShine,Series B-JuneShine
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"0ct13,2021",Ohi,Series A-Ohi
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun16,2021",Yummy,Seed Round-Yummy
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun8,2021",JuneShine,Series A-JuneShine
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun1,2021",Opopop,Series A-Opopop
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Apr6,2021",Endless West,Series B-Endless West
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Feb10,2021",New Age Meats,Seed Round-New Age Meats
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Feb9,2021",Beam Organics,Series A-Beam Organics
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Aug18,2020",Cure Hydration,Seed Round-Cure Hydration
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Mar1,2019",Spero Foods,Seed Round-Spero Foods
Qatar Holding LLC,Qatar Holding is a global investment house that specializes in strategic and direct investments focusing on private and public equity.,"May4,2022",Twitter,Post-IPO Equity Twitter
Qatar Holding LLC,Qatar Holding is a global investment house that specializes in strategic and direct investments focusing on private and public equity.,"Dec31,2013",Veepee,Private Equity Round Veepee
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"NoV14,2022",Zenlytic,Seed Round-Zenlytic
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Aug22,2022",Baoxiao Box,Series A-Baoxiao Box
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Ju20,2022",Xinsuan Technology,Angel Round-Xinsuan Technology
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Jun8,2022",Mindverse,Angel Round-Mindverse
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"May23,2022",Yunyao Shenwei,Seed Round-Yunyao Shenwei
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"May4,2022",Twitter,Post-IPO Equity-Twitter
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Apr8,2022",Shadow Eye Technology,Seed Round-Shadow Eye Technology
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Mar31,2022",Health Hero,Seed Round-Health Hero
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Mar29,2022",Hebin Intelligence,Seed Round-Hebin Intelligence
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Mar29,2022",Zhonghe Energy Storage,Seed Round-Zhonghe Energy Storage
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Mar14,2022",Tianyigou,Series A-Tianyigou
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Feb25,2022",Creable,Angel Round-Creable
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III thatÕs focused exclusively on seed-stage opportunities.,"Feb17,2022",Upward Technology,Seed Round-Upward Technology
