Investor,,Investments,,,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun2,2020",Vivint Solar,Post-IPO Debt-Vivint Solar,$300M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May29,2020",IndoStar Capital,Private Equity Round-IndoStar Capital,F12.3B
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Aug22,2018",Latch,Series B-Latch,$70M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul20,2018",Incor Infrastructure,Private Equity Round-Incor Infrastructure,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul10,2018",Convene,Series D-Convene,$152M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar21,2018",Link Financial,Private Equity Round Link Financial Services,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun3,2016",CWC Energy Services,Private Equity Round-CWC Energy Services,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May1,2013",Arcestra,Series A-Arcestra,$4M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun30,2010",IPICO,Venture Round IPICO,$2.5M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul18,2022",Delfi Diagnostics,Series B-Delfi Diagnostics,$225M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jun22,2022",Glowforge,Series E-Glowforge,$43M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jun8,2022",Immuta,Series E-Immuta,$100M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","May10,2022",Osmind,Series B-Osmind,S40M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Apr20,2022",The Boring Company,Series C-The Boring Company,$675M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb14,2022",Databook,Series B-Databook,$50M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb10,2022",Salt Security,Series D-Salt Security,$140M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Feb8,2022",Alchemy,Series C-Alchemy,S200M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec15,2021",Sysdig,Series G-Sysdig,$350M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec9,2021",Rho Business Banking,Series B-Rho Business Banking,$75M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Dec1,2021",Commonwealth Fusion,Series B-Commonwealth Fusion,$1.8B
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Nov3,2021",Yellowbrick Data,Series C-Yellowbrick Data,$75M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","0ct28,2021",Alchemy,SeriesC-Alchemy,$250M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","0ct14,2021",Dutchie,Series D-Dutchie,$350M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Aug5,2021",Hopin,Series D-Hopin,$450M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul30,2021",Neuralink,Series C-Neuralink,$205M
"DFJ Growth IV Partners, LLC","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed, early, and growth-stages.","Jul26,2021",NotCo(The Not Company),Series D-NotCo(The Not Company),$235M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov21,2022",FogPharma,Series D-FogPharma,S178M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov17,2022",Astera Labs,Series D-Astera Labs,S150M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Nov3,2022",Emalex Biosciences,Series D-Emalex Biosciences,$250M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct26,2022",SiMa.ai,Series B-SiMa.ai,$37M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct24,2022",Local Bounti,Post-IPO Equity-Local Bounti,$23.3M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","0ct13,2022",Odyssey Therapeutic,Series B-Odyssey Therapeutics,$168M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Sep27,2022",Wasabi Technologies,Series D-Wasabi Technologies,$125M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Sep15,2022",Galvanize Therapeutics,Series B-Galvanize Therapeutics,S100M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jul25,2022",Cleerly,Series C-Cleerly,S223M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jun6,2022",Aledade,Series E-Aledade,S123M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May25,2022",SiMa.ai,Series B-SiMa.ai,S30M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","May2,2022",Castle Creek Biosciences,Venture Round-Castle Creek Biosciences,$112.8M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr26,2022",Starling Bank,SeriesD-Starling Bank,_130.5M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr20,2022",Beta Technologies,Series B-Beta Technologies,$375M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr19,2022",Dianthus Therapeutics,Series A-Dianthus Therapeutics,$100M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Apr12,2022",Circle,Private Equity Round-Circle,S400M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar23,2022",LifeMine Therapeutics,Series C-LifeMine Therapeutics,S175M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar15,2022",PrognomiQ,Venture Round-PrognomiQ,$46M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar9,2022",Menlo Micro,Series C-Menlo Micro,S150M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar2,2022",Saluda Medical,Private Equity Round-Saluda Medical,$125M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Mar2,2022",Fanatics,Private Equity Round-Fanatics,$1.5B
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb23,2022",Omada Health,Series E-Omada Health,$192M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb22,2022",Somatus,Series E-Somatus,$325M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb16,2022",Cellink,Series D-Cellink,$250M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Feb1,2022",MNTN,Series D-MNTN,$119M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan25,2022",Creditas,Series F-Creditas,$260M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan19,2022",Sonder,Post-IPO Equity-Sonder,$310M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan11,2022",Bolt,Series F-Bolt,E628M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan10,2022",Oddity,Venture Round-Oddity,$130M
Fidelity Management & Research Company LLC,"FMR is a financial services firm that specializes in retirement, investments, online trading, and asset management.","Jan5,2022",Korro Bio,Series B-Korro Bio,$116M
Honeycomb Asset Management LP,Honeycomb Asset Management LP is a private investment firm specializing in long/short equity and select private investment opportunities.,"May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
Honeycomb Asset Management LP,Honeycomb Asset Management LP is a private investment firm specializing in long/short equity and select private investment opportunities.,"0ct30,2021",Flox,Seed Round-Flox,$1.2M
Key Wealth Advisors LLC,Key Wealth Advisors Providing independent advise across traditional and non traditional assets,"May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
Lawrence J. Ellison Revocable Trust,The Lawrence J. Ellison Revocable Trust,"May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
Lawrence J. Ellison Revocable Trust,The Lawrence J. Ellison Revocable Trust,"Nov17,2006",Theranos,Series C-Theranos,$28.5M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"May16,2022",Notissia,Funding Round-Notissia,
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Apr7,2022",Cofactr,Seed Round-Cofactr,S6M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jan27,2022",Parthean,Seed Round-Parthean,$1.1M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Dec8,2021",Zymochem,Seed Round-Zymochem,S4M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Nov15,2021",JuneShine,Series B-JuneShine,S24M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"0ct13,2021",Ohi,Series A-Ohi,$19M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun16,2021",Yummy,Seed Round-Yummy,S4.5M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun8,2021",JuneShine,Series A-JuneShine,
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Jun1,2021",Opopop,Series A-Opopop,$11.6M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Apr6,2021",Endless West,Series B-Endless West,$21M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Feb10,2021",New Age Meats,Seed Round-New Age Meats,$2M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Feb9,2021",Beam Organics,Series A-Beam Organics,$5M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Aug18,2020",Cure Hydration,Seed Round-Cure Hydration,$2.6M
Litani Ventures,Litani Ventures is a consumer investment company for entrepreneurs by entrepreneurs.,"Mar1,2019",Spero Foods,Seed Round-Spero Foods,
Qatar Holding LLC,Qatar Holding is a global investment house that specializes in strategic and direct investments focusing on private and public equity.,"May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
Qatar Holding LLC,Qatar Holding is a global investment house that specializes in strategic and direct investments focusing on private and public equity.,"Dec31,2013",Veepee,Private Equity Round Veepee,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"NoV14,2022",Zenlytic,Seed Round-Zenlytic,S5.4M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Aug22,2022",Baoxiao Box,Series A-Baoxiao Box,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Ju20,2022",Xinsuan Technology,Angel Round-Xinsuan Technology,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Jun8,2022",Mindverse,Angel Round-Mindverse,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"May23,2022",Yunyao Shenwei,Seed Round-Yunyao Shenwei,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Apr8,2022",Shadow Eye Technology,Seed Round-Shadow Eye Technology,
